"GEO_ID","state","Amount"
"01001","Alabama",5261.89
"01003","Alabama",89863.3458208955
"01005","Alabama",8264.99
"01015","Alabama",3580.175
"01017","Alabama",11062.82
"01025","Alabama",4134.45333333333
"01031","Alabama",7340.325
"01035","Alabama",2549.38
"01039","Alabama",98696.11
"01045","Alabama",14287.27
"01047","Alabama",22287.555
"01051","Alabama",7074.61
"01061","Alabama",39244.0376923077
"01067","Alabama",34036.8517647059
"01069","Alabama",175404.068490566
"01073","Alabama",4061.3
"01081","Alabama",6808.7325
"01087","Alabama",7252.09
"01089","Alabama",4920.93
"01097","Alabama",53035.1762903226
"01099","Alabama",21148.28
"01101","Alabama",18725.99
"01105","Alabama",15265.1133333333
"01107","Alabama",9007.06882352941
"01113","Alabama",15132.6933333333
"01123","Alabama",1514.8
"01129","Alabama",12634.14
"09001","Connecticut",88794.3152927928
"09003","Connecticut",22775.1219285714
"09005","Connecticut",10946.215
"09007","Connecticut",42311.1352571429
"09009","Connecticut",58374.0414772727
"09011","Connecticut",37051.4536335404
"09013","Connecticut",11588.0153409091
"09015","Connecticut",9572.77301204819
"10001","Delaware",10037.7898412698
"10003","Delaware",15813.3164285714
"10005","Delaware",8602.59047619048
"11001","District of Columbia",62073.6845555556
"12001","Florida",138308.967710843
"12003","Florida",44883.5292857143
"12005","Florida",1286231.35909465
"12007","Florida",45023.1686666667
"12009","Florida",183683.703455497
"12011","Florida",277764.665282738
"12013","Florida",428883.098382353
"12015","Florida",751369.023673469
"12017","Florida",94602.3233333333
"12019","Florida",115356.819174312
"12021","Florida",276543.127974359
"12023","Florida",75238.4092857143
"12027","Florida",125497.969047619
"12029","Florida",69624.359
"12031","Florida",475708.306842105
"12033","Florida",244685.01
"12035","Florida",218896.674074074
"12037","Florida",105222.554945055
"12039","Florida",123385.904285714
"12041","Florida",24553.874
"12043","Florida",46332.8159259259
"12045","Florida",109603.584266667
"12047","Florida",43532.858
"12049","Florida",143583.662678571
"12051","Florida",99905.4978125
"12053","Florida",92631.1021276596
"12055","Florida",158437.543269231
"12057","Florida",329873.210543478
"12059","Florida",37111.4875757576
"12061","Florida",145072.413305785
"12063","Florida",196700.840266667
"12065","Florida",15400.1594285714
"12067","Florida",10260.59
"12069","Florida",107562.707709497
"12071","Florida",314999.513170732
"12073","Florida",541465.073577982
"12075","Florida",29027.1158928571
"12077","Florida",34736.29
"12079","Florida",27165.0204166667
"12081","Florida",216838.484354839
"12083","Florida",356156.943478261
"12085","Florida",399254.400843373
"12086","Florida",320204.039742883
"12087","Florida",430755.360377359
"12089","Florida",260739.595967742
"12091","Florida",30295.8267857143
"12093","Florida",77511.9146153846
"12095","Florida",138201.875784615
"12097","Florida",169952.863928571
"12099","Florida",257359.381374765
"12101","Florida",212170.048166667
"12103","Florida",174652.556960784
"12105","Florida",178467.445456919
"12107","Florida",126228.825116279
"12109","Florida",429026.323650794
"12111","Florida",162904.557164179
"12113","Florida",61529.147
"12115","Florida",146781.676760563
"12117","Florida",225682.550533333
"12119","Florida",49268.15325
"12121","Florida",36689.1835294118
"12123","Florida",70788.6355555555
"12125","Florida",13925.04625
"12127","Florida",197456.219533469
"12129","Florida",72152.008
"12131","Florida",70300.1216666667
"12133","Florida",1322967.18354167
"13001","Georgia",31652.3615384615
"13003","Georgia",8268.11
"13005","Georgia",34815.595
"13007","Georgia",167209.381538462
"13009","Georgia",27750.1186666667
"13011","Georgia",132209.9725
"13013","Georgia",13543.3318181818
"13017","Georgia",28446.7342307692
"13019","Georgia",19477.93625
"13021","Georgia",124404.9305
"13023","Georgia",13800.9176923077
"13025","Georgia",42627.9748275862
"13027","Georgia",26669.0983333333
"13029","Georgia",58880.349
"13031","Georgia",121766.902142857
"13033","Georgia",14033.5025
"13035","Georgia",16920.1755555556
"13037","Georgia",11380.177
"13039","Georgia",51311.5208064516
"13043","Georgia",19726.195
"13045","Georgia",18303.1771428571
"13049","Georgia",38910.625625
"13051","Georgia",276487.963482587
"13053","Georgia",16430.25
"13057","Georgia",26865.57
"13059","Georgia",64547.0314285714
"13061","Georgia",13712.3325
"13063","Georgia",38768.282
"13065","Georgia",19883.3042857143
"13067","Georgia",6687.68
"13069","Georgia",13547.6073170732
"13071","Georgia",45813.9576
"13073","Georgia",26882.7144444444
"13075","Georgia",27913.01
"13077","Georgia",32266.89375
"13079","Georgia",4914.90333333333
"13081","Georgia",127441.310344828
"13085","Georgia",33838.39
"13087","Georgia",257778.170689655
"13089","Georgia",102311.275384615
"13091","Georgia",77235.941875
"13093","Georgia",8238.254
"13095","Georgia",310113.708333333
"13097","Georgia",13432.39
"13099","Georgia",38682.7066666667
"13101","Georgia",15323.20125
"13103","Georgia",34209.7111538462
"13105","Georgia",24611.67
"13107","Georgia",35149.4525
"13109","Georgia",19767.4303448276
"13113","Georgia",29306.1655555556
"13117","Georgia",37137.4775
"13119","Georgia",7643.62083333333
"13121","Georgia",36731.9831818182
"13123","Georgia",8665.6525
"13125","Georgia",9612.445
"13127","Georgia",258374.995051546
"13129","Georgia",18235.615
"13131","Georgia",46579.6380952381
"13133","Georgia",8082.43142857143
"13135","Georgia",55506.5571794872
"13137","Georgia",27313.18
"13139","Georgia",62859.2546666667
"13141","Georgia",20996.0814285714
"13143","Georgia",43550.062
"13145","Georgia",35103.45
"13147","Georgia",20642.9557142857
"13151","Georgia",44907.885
"13153","Georgia",34204.6333333333
"13155","Georgia",16916.0183333333
"13157","Georgia",24032.5045454545
"13159","Georgia",30045.3075
"13163","Georgia",16146.8886666667
"13165","Georgia",13110.9609090909
"13167","Georgia",15243.5266666667
"13169","Georgia",15727.114
"13171","Georgia",15067.2355555556
"13173","Georgia",8101.25166666667
"13175","Georgia",41075.8981818182
"13177","Georgia",34356.3569565217
"13179","Georgia",86020.5694444445
"13181","Georgia",11323.3
"13183","Georgia",18407.9888235294
"13185","Georgia",49391.3568965517
"13187","Georgia",77032.4961538462
"13189","Georgia",18204.3955555556
"13191","Georgia",137756.208108108
"13193","Georgia",12562.8384615385
"13195","Georgia",17395.18
"13197","Georgia",7201.08
"13199","Georgia",4494.4025
"13201","Georgia",26121.226875
